date,year,total,air,hotels,bus,other
2010-01-01,2010,,,,,
2011-01-01,2011,,,,,
2012-01-01,2012,,,,,
2013-01-01,2013,,,,,
2014-01-01,2014,,,,,
2015-01-01,2015,,,,,
2016-01-01,2016,,,,,
2017-01-01,2017,,,,,
2018-01-01,2018,,,,,
2019-01-01,2019,703.5,280.0,320.5,75.0,28.0
2020-01-01,2020,465.2,150.0,220.2,60.0,35.0
2021-01-01,2021,389.8,120.0,180.8,50.0,39.0
2022-01-01,2022,580.4,210.0,280.4,65.0,25.0
2023-01-01,2023,593.0,230.0,290.0,48.0,25.0
2024-01-01,2024,783.0,305.0,380.0,65.0,33.0
2025-01-01,2025,978.0,380.0,475.0,80.0,43.0
